    b1           b0      L
7.019865e-03 1.010000e+02 1.838809e-58
2.518953e-03 1.010000e+02 6.202291e-100
1.486489e-03 1.010000e+02 7.921034e-117
6.735239e-03 1.010000e+02 2.995102e-60
3.242266e-04 1.010000e+02 0.000000e+00
7.606351e-03 1.010000e+02 5.454123e-55
3.800672e-03 1.010000e+02 2.433794e-84
7.386300e-03 1.010000e+02 2.921750e-56
1.389539e-03 1.010000e+02 8.763898e-119
1.597893e-03 1.010000e+02 1.083379e-114
5.669580e-03 1.010000e+02 1.178312e-67
8.814119e-03 1.010000e+02 1.336331e-48
7.306173e-03 1.010000e+02 9.853303e-57
4.728511e-03 1.010000e+02 2.381240e-75
1.332823e-03 1.010000e+02 5.618281e-120
9.170047e-03 1.010000e+02 6.977088e-47
6.196026e-03 1.010000e+02 7.588871e-64
4.675208e-03 1.010000e+02 7.975001e-76
7.265206e-03 1.010000e+02 5.626885e-57
5.307461e-03 1.010000e+02 1.804802e-70
9.224650e-03 1.010000e+02 1.262751e-46
4.239105e-03 1.010000e+02 6.816956e-80
6.734004e-03 1.010000e+02 2.940975e-60
8.994397e-03 1.010000e+02 1.010199e-47
7.453976e-03 1.010000e+02 7.252188e-56
5.594592e-03 1.010000e+02 3.177960e-68
6.437368e-03 1.010000e+02 3.352217e-62
1.928070e-03 1.010000e+02 6.676309e-109
5.089924e-03 1.010000e+02 3.025240e-72
8.975345e-03 1.010000e+02 8.173379e-48
3.322098e-03 1.010000e+02 1.154947e-89
3.786257e-03 1.010000e+02 1.711673e-84
9.747313e-04 1.010000e+02 1.059549e-128
4.062635e-03 1.010000e+02 1.228308e-81
2.881376e-03 1.010000e+02 4.554363e-95
2.465314e-04 1.010000e+02 0.000000e+00
6.940852e-04 1.010000e+02 3.826464e-138
4.547830e-03 1.010000e+02 5.591200e-77
9.607752e-03 1.010000e+02 7.368155e-45
4.530882e-04 1.010000e+02 0.000000e+00
2.548975e-03 1.010000e+02 1.628449e-99
1.320494e-03 1.010000e+02 3.054739e-120
2.400390e-03 1.010000e+02 1.276480e-101
2.212695e-03 1.010000e+02 2.128528e-104
8.534644e-03 1.010000e+02 5.347195e-50
6.713846e-03 1.010000e+02 2.183100e-60
3.444855e-03 1.010000e+02 3.011698e-88
5.129695e-03 1.010000e+02 6.462385e-72
9.270310e-03 1.010000e+02 2.068227e-46
9.015716e-03 1.010000e+02 1.279790e-47
2.338385e-03 1.010000e+02 1.597860e-102
7.753130e-03 1.010000e+02 3.669923e-54
7.638206e-03 1.010000e+02 8.274380e-55
4.051485e-03 1.010000e+02 9.485867e-82
1.568030e-03 1.010000e+02 2.970566e-115
5.694474e-03 1.010000e+02 1.814096e-67
1.934705e-03 1.010000e+02 8.591205e-109
5.237431e-03 1.010000e+02 4.920727e-71
2.830770e-03 1.010000e+02 1.007916e-95
8.569122e-03 1.010000e+02 7.998333e-50
4.238183e-03 1.010000e+02 6.677744e-80
8.448572e-03 1.010000e+02 1.943046e-50
7.024856e-04 1.010000e+02 8.376711e-138
1.450705e-04 1.010000e+02 0.000000e+00
5.145639e-03 1.010000e+02 8.747897e-72
5.289324e-05 1.010000e+02 0.000000e+00
4.220294e-04 1.010000e+02 0.000000e+00
3.600789e-04 1.010000e+02 0.000000e+00
9.041662e-03 1.010000e+02 1.705437e-47
9.641902e-03 1.010000e+02 1.050429e-44
9.723213e-03 1.010000e+02 2.431528e-44
7.641153e-03 1.010000e+02 8.598920e-55
6.718440e-03 1.010000e+02 2.336697e-60
5.850240e-03 1.010000e+02 2.595897e-66
3.871541e-03 1.010000e+02 1.353453e-83
1.430407e-03 1.010000e+02 6.016658e-118
2.098251e-03 1.010000e+02 3.654716e-106
5.324257e-03 1.010000e+02 2.459256e-70
2.654115e-03 1.010000e+02 4.529990e-98
7.851189e-03 1.010000e+02 1.285969e-53
9.640749e-03 1.010000e+02 1.037948e-44
1.740973e-03 1.010000e+02 4.284889e-112
9.557495e-03 1.010000e+02 4.362349e-45
4.925338e-03 1.010000e+02 1.235771e-73
5.676710e-03 1.010000e+02 1.333558e-67
9.778181e-03 1.010000e+02 4.271454e-44
5.524387e-03 1.010000e+02 9.182117e-69
4.245550e-03 1.010000e+02 7.873765e-80
2.200144e-03 1.010000e+02 1.371706e-104
9.350462e-03 1.010000e+02 4.889019e-46
6.359816e-03 1.010000e+02 1.007341e-62
8.159410e-03 1.010000e+02 6.002173e-52
4.748996e-03 1.010000e+02 3.615359e-75
1.069835e-03 1.010000e+02 3.929101e-126
3.475537e-03 1.010000e+02 6.716318e-88
9.922080e-03 1.010000e+02 1.839624e-43
1.695574e-03 1.010000e+02 6.667285e-113
8.561644e-03 1.010000e+02 7.330489e-50
4.796357e-03 1.010000e+02 9.437819e-75
1.169727e-03 1.010000e+02 1.181766e-123
